pepe market_cap,pepe price,dia
1681776000000,1.90122246943781e-07,0
1681862400000,1.90122246943781e-07,1
1681948800000,2.487980874614827e-07,2
1682035200000,3.043395466710088e-07,3
1682121600000,1.993084273938115e-07,4
1682208000000,2.9196106348832235e-07,5
1682294400000,3.1699379911392704e-07,6
1682380800000,2.98731062178942e-07,7
1682467200000,2.5824170015994866e-07,8
1682553600000,2.2067547691226175e-07,9
1682640000000,2.7221433242757177e-07,10
1682726400000,3.29251404274043e-07,11
1682812800000,4.6847846071999986e-07,12
1682899200000,7.264861742869047e-07,13
1682985600000,1.2009369721671877e-06,14
1683072000000,1.13359108911021e-06,15
1683158400000,1.0987639587427322e-06,16
1683244800000,1.9529606076005715e-06,17
1683331200000,3.7224126701924494e-06,18
1683417600000,2.6419208092695797e-06,19
1683504000000,2.8366547667055106e-06,20
1683590400000,1.9476532137880405e-06,21
1683676800000,2.0057339528606867e-06,22
1683763200000,1.9223578473465573e-06,23
1683849600000,1.404385945044434e-06,24
1683936000000,1.7257881203765283e-06,25
1684022400000,1.8831931656646124e-06,26
1684108800000,1.7976576445496967e-06,27
1684195200000,1.7340603797610076e-06,28
1684281600000,1.671716042920415e-06,29
1684368000000,1.5781111991678921e-06,30
1684454400000,1.5912509242563642e-06,31
1684540800000,1.5301364685293944e-06,32
1684627200000,1.7240631695041447e-06,33
1684713600000,1.6056055988447255e-06,34
1684800000000,1.5334968449999868e-06,35
1684886400000,1.6070179899669554e-06,36
1684972800000,1.445632159740262e-06,37
1685059200000,1.435142215911159e-06,38
1685145600000,1.4608804077779615e-06,39
1685232000000,1.524234025735661e-06,40
1685318400000,1.5011886045162537e-06,41
1685404800000,1.4379004311108605e-06,42
1685491200000,1.2970334387299586e-06,43
1685577600000,1.2648274718677892e-06,44
1685664000000,1.2459311146416527e-06,45
1685750400000,1.28282309857131e-06,46
1685836800000,1.2948508018569547e-06,47
1685923200000,1.2423712232728042e-06,48
1686009600000,1.0423026664215976e-06,49
1686096000000,1.2011241784897232e-06,50
1686182400000,1.0752713631967462e-06,51
1686268800000,1.0835623612452038e-06,52
1686355200000,1.1349249849830234e-06,53
1686441600000,9.328946238766911e-07,54
1686528000000,9.157879970850088e-07,55
1686614400000,9.061530623642614e-07,56
1686700800000,9.171810840546423e-07,57
1686787200000,8.885264346952027e-07,58
1686873600000,8.955175476686747e-07,59
1686960000000,9.674299787035646e-07,60
1687046400000,1.0010738289833624e-06,61
1687132800000,9.353464322503779e-07,62
1687219200000,9.433533509271015e-07,63
1687305600000,1.066065809868302e-06,64
1687392000000,1.3804578306036491e-06,65
1687478400000,1.5474595538889623e-06,66
1687564800000,1.637891800357925e-06,67
1687651200000,1.5507260699475523e-06,68
1687737600000,1.6105420097050007e-06,69
1687824000000,1.5217266612533097e-06,70
1687910400000,1.621600645279468e-06,71
1687996800000,1.4261554880324218e-06,72
1688083200000,1.549928979806281e-06,73
1688169600000,1.6526559503837256e-06,74
1688256000000,1.5567394031245504e-06,75
1688342400000,1.5860392257515374e-06,76
1688428800000,1.8289791364421795e-06,77
1688515200000,1.7183629822736762e-06,78
1688601600000,1.657474524325492e-06,79
1688688000000,1.556955489650667e-06,80
1688774400000,1.5632065567202255e-06,81
1688860800000,1.5515603843114781e-06,82
1688947200000,1.5483892757246985e-06,83
1689033600000,1.5166471212126535e-06,84
1689120000000,1.5055794313276165e-06,85
1689206400000,1.5095156682289363e-06,86
1689292800000,1.7056494982063245e-06,87
1689379200000,1.6351196268366816e-06,88
1689465600000,1.6442116236339595e-06,89
1689552000000,1.5778281460536968e-06,90
1689638400000,1.5779527798115898e-06,91
1689724800000,1.5193539003541886e-06,92
1689811200000,1.5327598683968261e-06,93
1689897600000,1.5074349667587517e-06,94
1689984000000,1.5258862895552824e-06,95
1690070400000,1.4850606927101436e-06,96
1690156800000,1.5072399111465826e-06,97
1690243200000,1.3477612825539443e-06,98
1690329600000,1.3106147299563635e-06,99
1690416000000,1.3350744201718313e-06,100
1690502400000,1.3449133960112231e-06,101
1690588800000,1.3419190685860623e-06,102
1690675200000,1.353777006087688e-06,103
1690761600000,1.2972905631236213e-06,104
1690848000000,1.2373653606028373e-06,105
1690934400000,1.2728800027280113e-06,106
1691020800000,1.2157775708973016e-06,107
1691107200000,1.2000724844270373e-06,108
1691193600000,1.155491656108546e-06,109
1691280000000,1.1548992228940226e-06,110
1691366400000,1.157641132306614e-06,111
1691452800000,1.1153012200178668e-06,112
1691539200000,1.1755486596636904e-06,113
1691625600000,1.2354468616754316e-06,114
1691712000000,1.231541301157406e-06,115
1691779941000,1.2398640330834256e-06,116
