market_cap,price,capitalizacion propia,dia,cripto
1690243200000,0.7035253934126873,37175596287,1,XRP
1690329600000,0.710252778978069,37531083910,2,XRP
1690416000000,0.7158774882632872,37828304058,3,XRP
1690502400000,0.713435782414364,37699279759,4,XRP
1690588800000,0.7122965862439442,37639082505,5,XRP
1690675200000,0.7126071592756545,37655493764,6,XRP
1690761600000,0.7049110934788799,37248819268,7,XRP
1690848000000,0.6990302831310987,36938066261,8,XRP
1690934400000,0.7072155102655546,37370588957,9,XRP
1691020800000,0.6847397250082338,36182926469,10,XRP
1691107200000,0.6642104250823613,35098119903,11,XRP
1691193600000,0.6358100524337328,33597391147,12,XRP
1691280000000,0.6284302339961231,33207427752,13,XRP
1691366400000,0.6221532337189516,32875739330,14,XRP
1691452800000,0.6208379591018611,32806237761,15,XRP
1691539200000,0.6426242001562646,33957463445,16,XRP
1691625600000,0.6436052062261336,34009301639,17,XRP
1691712000000,0.6332138416848744,33460202521,18,XRP
1691798400000,0.631617580467985,33375853095,19,XRP
1691884800000,0.6270807267798834,33136117270,20,XRP
1691971200000,0.6256892005801732,33062586425,21,XRP
1692057600000,0.6346809011389943,33537724683,22,XRP
1692144000000,0.6093303800158635,32198155781,23,XRP
1692230400000,0.5892528804005854,31137223188,24,XRP
1692316800000,0.5045364413631485,26660648261,25,XRP
1692403200000,0.5055391266986587,26713632027,26,XRP
1692489600000,0.5197335651388897,27463692676,27,XRP
1692576000000,0.5390316044671543,28483437132,28,XRP
1692662400000,0.5244055106671905,27710567007,29,XRP
1692719459000,0.5129004795638288,27102619667,30,XRP
